,MyUnknownColumn,Project_name,Area_In_City,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet,Ratings
229,17,Marathon Neovalley Narmada Wing B,Bhandup West,Marathon Realty Pvt. Ltd.,Possession in 2028, 3.20 Cr - 3.30 Cr                                                             , 1.95 Cr                                                             ,730  sqft,1165 - 1188 sqft,4.0
230,18,Sunteck Sky Park,Mira Bhayandar Road,Sunteck Realty Ltd.,Possession in 2026, 50 Lac - 68 Lac                                                             , 32 Lac                                                             ,175  sqft,247 - 338 sqft,10.0
231,19,Sunteck Sky Park,Mira Bhayandar Road,Sunteck Realty Ltd.,Possession in 2026, 1.12 Cr - 1.18 Cr                                                             , 1.57 Cr - 1.71 Cr                                                             ,948 - 1040 sqft,665 - 702 sqft,4.0
232,20,Sunteck Sky Park,Mira Bhayandar Road,Sunteck Realty Ltd.,Possession in 2026, 1.29 Cr - 1.70 Cr                                                             , 1.99 Cr - 2.22 Cr                                                             ,850  sqft,560 - 710 sqft,7.0
233,0,Gold Crest,Kandivali West,Shraddha Prime Projects LTD,Possession in 2027, 94 Lac - 96 Lac                                                             , 1.42 Cr                                                             ,598  sqft,406  sqft,3.0
234,1,Adityaraj Shivraj,Vikhroli East,Adityaraj Group,Possession in 2027, 69 Lac - 77 Lac                                                             , 1.10 Cr                                                             ,533  sqft,397 - 419 sqft,8.0
235,2,Adityaraj One,Vikhroli East,Adityaraj Group,Possession in 2026, 1.20 Cr                                                             , 59.9 Lac - 71.5 Lac                                                             ,341 - 512 sqft,610  sqft,5.0
236,3,Luxuria,Mira Road East,Vihang Group  &amp; Reyanshp Realty LLP,Possession in 2027, 92 Lac - 1.05 Cr                                                             , 1.25 Cr - 1.25 Cr                                                             ,467  sqft,620 - 645 sqft,0.0
237,4,Paranjape Aspire,Andheri West,Paranjape Schemes Construction Ltd.,Possession in 2027, 1.68 Cr - 1.68 Cr                                                             , 2.45 Cr - 2.45 Cr                                                             ,934  sqft,630  sqft,2.0
238,5,Shri Siddhivinayak By DEM,Kandivali West,DEM Infra,Possession in 2026, 1.45 Cr - 1.72 Cr                                                             , 2.50 Cr                                                             ,832  sqft,611 - 632 sqft,2.0
