"MyUnknownColumn";"MyUnknownColumn_[0]";"Project_name";"Area_In_City";"Developer";"Possesion_Details";"3BHK_Carpet";"2BHK_Carpet";"Ratings";"2BHK_Prices";"3BHK_Prices"
115;9;"TG Heritage";"Kanakapura Road";"TG Developers";"Possession in 2026";"1122 - 1525 sqft";"1305 - 1495 sqft";3.0;10200000.0;10000000.0
116;10;"Mahaveer Grandis";"Phase 7 JP Nagar";"Mahaveer Group";"Possession in 2026";"1367 - 1562 sqft";"1070 - 1213 sqft";8.0;4280000.0;6010000.0
117;11;"DS MAX Samyak";"Kengeri Hobli Challegatta";"DS MAX Properties Pvt. Ltd.";"Possession in 2026";"1237 - 1425 sqft";"1000 - 1298 sqft";3.0;4500000.0;5570000.0
118;12;"DS MAX Shresta";"Bellahalli";"DS MAX Properties Pvt. Ltd.";"Possession in 2026";"964 - 1216 sqft";"647 - 684 sqft";8.0;3560000.0;5300000.0
119;13;"Mahaveer Highlands";"Kengeri";"Mahaveer Group";"Possession in 2026";"586  sqft";"1422 - 1447 sqft";5.0;7820000.0;4300000.0
120;14;"Brigade Valencia";"Hosur Road";"Brigade Group";"Possession in 2027";"1498 - 1678 sqft";"966 - 1201 sqft";2.0;7000000.0;10800000.0
121;15;"Govianu Nakshatra";"Vijayanagar";"Govianu Wealth Management Pvt Ltd";"Possession in 2024";"1200 - 1650 sqft";"1800 - 1815 sqft";7.0;12500000.0;6480000.0
122;16;"Akshara Green City Township Phase 1";"Budigere Cross";"Sheshadri Developers";"Possession in 2024";"1200 - 1500 sqft";"1490 - 2420 sqft";10.0;5290000.0;7800000.0
123;17;"Century Seasons";"Devanahalli";"Century Real Estate";"Possession in 2023";"1200 - 1500 sqft";"1490 - 2420 sqft";5.0;5290000.0;7800000.0
124;0;"Century Wintersun";"Yelahanka";"Century Real Estate";"Possession in 2025";"1200 - 1927 sqft";"2800 - 3300 sqft";7.0;28000000.0;1680000.0
125;1;"BSNL Sirigandha Elite";"Devanahalli";"BSNL Employees And Citizen House Building Co Operative Society Ltd";"Possession in 2026";"600 - 1800 sqft";"892 - 3126 sqft";3.0;2680000.0;2200000.0
126;2;"Manyata Midlands";"Anekal";"Manyata Developers Pvt Ltd";"Possession in 2027";"2166  sqft";"1238  sqft";7.0;11500000.0;14000000.0
127;3;"Lavender Meadows";"Sarjapura";"Terrafem Group LLP";"Possession in 2026";"2604 - 3022 sqft";"1785 - 2034 sqft";2.0;16200000.0;23700000.0
128;4;"Ruchira Park East";"Kannamangala";"Ruchira Projects Pvt. Ltd.";"Possession in 2025";"1373 - 1569 sqft";"1039 - 1258 sqft";0.0;5190000.0;6920000.0
129;5;"Mahidhara Harmony";"Sarjapur Road";"Mahidhara Projects Private Limited";"Possession in 2024";"995 - 1600 sqft";"689  sqft";9.0;5960000.0;12500000.0
130;6;"SLV Elanza";"Thanisandra";"SLV Infrastructures";"Possession in 2027";"1585 - 1800 sqft";"1017 - 1839 sqft";9.0;12000000.0;20000000.0
131;7;"Sobha Sentosa";"Panathur";"SOBHA Ltd.";"Possession in 2026";"1972  sqft";"524 - 850 sqft";2.0;7600000.0;23500000.0
132;8;"Assetz Bloom &amp; Dell";"Whitefield";"Assetz Property Group";"Possession in 2027";"1450  sqft";"1900 - 2940 sqft";8.0;25000000.0;17000000.0
133;9;"Prestige Primrose Hills Phase 2";"Kanakapura Road";"Prestige Estates Projects Ltd.";"Possession in 2027";"1450  sqft";"1900 - 2940 sqft";6.0;25000000.0;17000000.0
134;10;"Radiance Gardenia";"Hennur Main Road";"Radiance Realty Developers India Ltd.";"Possession in 2025";"1450  sqft";"1900 - 2940 sqft";9.0;25000000.0;17000000.0
135;11;"Geown Oasis Phase 3";"Sarjapura";"Geown Properties Pvt. Ltd.";"Possession in 2024";"1450  sqft";"1900 - 2940 sqft";9.0;25000000.0;17000000.0
136;12;"Sanjeevini Srushti Srigandha";"Whitefield";"Sanjeevini Group";"Possession in 2026";"1450  sqft";"1900 - 2940 sqft";0.0;25000000.0;17000000.0
137;13;"Mahaveer Camelia";"Krishnarajapura";"Mahaveer Group";"Possession in 2023";"1450  sqft";"1900 - 2940 sqft";6.0;25000000.0;17000000.0
138;14;"Siddanth Aartisan";"Kanakapura Road";"SIDDANTH BUILDERS AND DEVELOPERS LLP";"Possession in 2024";"1450  sqft";"1900 - 2940 sqft";7.0;25000000.0;17000000.0
139;15;"Shree Sri Rama Badavane ";"Anekal";"Shree Developers";"Possession in 2025";"1450  sqft";"1900 - 2940 sqft";2.0;25000000.0;17000000.0
140;0;"Sri Krishna Kuttera";"Devanahalli";"Charigan Group";"Possession in 2023";"1358  sqft";"1122 - 1271 sqft";5.0;6540000.0;7760000.0
141;1;"KVG Aster";"Horamavu";"KVG Builders &amp; Developers";"Possession in 2025";"822 - 942 sqft";"572 - 817 sqft";5.0;2460000.0;3540000.0
142;2;"Pride Sunrise Phase II";"Jigani";"Pride Group";"Possession in 2025";"1246 - 1400 sqft";"961 - 1061 sqft";9.0;3900000.0;5600000.0
143;3;"ISR Udayam";"Budigere Cross";"ISR Constructions Pvt. Ltd.";"Possession in 2025";"998 - 1350 sqft";"780 - 1117 sqft";3.0;6930000.0;9500000.0
144;4;"Inspira Tropical Garden";"Electronic City";"Inspira Builders";"Possession in 2024";"714 - 900 sqft";"700 - 1088 sqft";10.0;6360000.0;9000000.0
145;5;"Macasa Emerald";"Sarjapur Road";"Mana Projects Pvt. Ltd.";"Possession in 2026";"968 - 1200 sqft";"716 - 900 sqft";4.0;4900000.0;6620000.0
146;6;"GMC Aero Square";"Devanahalli";"Griha Mithra Constructions";"Possession in 2025";"2896 - 4750 sqft";"2395  sqft";6.0;17000000.0;50000000.0
147;7;"Diamond Blossoms";"Huskur";"Prestige Group";"Possession in 2025";"1265 - 1885 sqft";"970 - 1420 sqft";4.0;7620000.0;9510000.0
148;8;"Prestige Sanctuary";"Devanahalli";"Ranav Group";"Possession in 2024";"2925  sqft";"2100  sqft";1.0;15600000.0;20400000.0
149;9;"Ranav Tranquil Haven";"Soukya Road";"Brigade Enterprises Ltd.";"Possession in 2025";"3500 - 3508 sqft";"3276 - 3495 sqft";1.0;24500000.0;64700000.0
150;10;"Ivory Phase 1 At Brigade Orchards";"Devanahalli";"Bright Wave Projects Pvt. Ltd.";"Possession in 2024";"3500 - 3508 sqft";"3276 - 3495 sqft";1.0;24500000.0;64700000.0
151;11;"Tulip";"Chandapura";"Address Maker";"Possession in 2023";"3500 - 3508 sqft";"3276 - 3495 sqft";9.0;24500000.0;64700000.0
152;12;"Classic Canaan";"Devanahalli";"KNS Infrastructure Pvt. Ltd.";"Possession in 2023";"3500 - 3508 sqft";"3276 - 3495 sqft";4.0;24500000.0;64700000.0
153;13;"KNS Atharva";"Devanahalli";"GKS Builders and Developers";"Possession in 2024";"3500 - 3508 sqft";"3276 - 3495 sqft";7.0;24500000.0;64700000.0
154;14;"GKS 1000 Woods";"Chandapura";"Mathapathi Construction";"Possession in 2023";"3500 - 3508 sqft";"3276 - 3495 sqft";4.0;24500000.0;64700000.0
155;15;"Mathapathi Grand Field";"Gunjur";"NR Greenwood Construction Pvt. Ltd.";"Possession in 2023";"3500 - 3508 sqft";"3276 - 3495 sqft";1.0;24500000.0;64700000.0
156;16;"Nr Rose Wood Estates";"Kempegowda International Airport Road";"Govianu Wealth Management Pvt Ltd";"Possession in 2024";"3500 - 3508 sqft";"3276 - 3495 sqft";0.0;24500000.0;64700000.0
157;0;"North Woods";"Chikkaballapur";"Living Structures";"Possession in 2023";"640 - 980 sqft";"720 - 3360 sqft";9.0;1800000.0;6400000.0
